path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
181664.wav,uzbek_voice,"Shunday qilinsa, kuya paydo bo'lgani darrov bilinadi.","Shunday qilinsa, kuyi paydo bo'lgani darrov bilinadi.",0.1429,"Shunday qilinsa, kuya paydo bo'lgani darrov bilinadi.","Shunday qilinsa, kuyi paydo bo'lgani darrov bilinadi.",0.1429,0.0189,0.9811,7,7
727386.wav,uzbek_voice,"Xususan, namunaviy loyihalar asosida arzon uy-joylar va infratuzilma tarmoqlarini barpo etish.","Xususan, namunaviy loyihalar asosida arzon uy-joylar va infratuzilma tarmoqlarini barpo etish.",0.0,"Xususan, namunaviy loyihalar asosida arzon uy-joylar va infratuzilma tarmoqlarini barpo etish.","Xususan, namunaviy loyihalar asosida arzon uy-joylar va infratuzilma tarmoqlarini barpo etish.",0.0,0.0,1.0,11,11
857774.wav,uzbek_voice,5 329 097,5 329 097,0.0,5 329 097,5 329 097,0.0,0.0,1.0,3,3
246400.wav,uzbek_voice,Mablag'lar hadli kreditlar orqali yo'naltiriladi.,Mablag'lar xarli kreditlar orqali yo'naltiriladi.,0.2,Mablag'lar hadli kreditlar orqali yo'naltiriladi.,Mablag'lar xarli kreditlar orqali yo'naltiriladi.,0.2,0.0408,0.9592,5,5
364770.wav,uzbek_voice,Volgograd viloyatida tergovchilar o'zbekistonlik ishchining o'limi tafsilotlarini o'rganmoqda.,Volgograd viloyatida tergovchilar o'zbekistonlik ishchining o'limi tafsilotlarini o'rganmoqda.,0.0,Volgograd viloyatida tergovchilar o'zbekistonlik ishchining o'limi tafsilotlarini o'rganmoqda.,Volgograd viloyatida tergovchilar o'zbekistonlik ishchining o'limi tafsilotlarini o'rganmoqda.,0.0,0.0,1.0,8,8
common_voice_uz_29385590.wav,common_voice,Qachon o'zbek xarakterini qabul qildik?,Qachon o'zbek xarakterini qabul qildik?,0.0,Qachon o'zbek xarakterini qabul qildik?,Qachon o'zbek xarakterini qabul qildik?,0.0,0.0,1.0,5,5
common_voice_uz_29491785.wav,common_voice,Zero mamlakat bo'ylab qancha ko'p korxonalar qurilmasin.,Zero mamlakat bo'ylab qancha ko'p korxonalar qurilmasin.,0.0,Zero mamlakat bo'ylab qancha ko'p korxonalar qurilmasin.,Zero mamlakat bo'ylab qancha ko'p korxonalar qurilmasin.,0.0,0.0,1.0,7,7
common_voice_uz_28900652.wav,common_voice,"Shov-shuvga, qichqiriqlarga zo'r beriladi.","Shov-shuvga, qichqiriqlarga zo'r beriladi.",0.0,"Shov-shuvga, qichqiriqlarga zo'r beriladi.","Shov-shuvga, qichqiriqlarga zo'r beriladi.",0.0,0.0,1.0,4,4
common_voice_uz_28906029.wav,common_voice,Standard Oil monopoliyasi keyinroq Rokfeller neft biznesiga o'tib ketadi.,"Standart o'yil monopoliyasi keyinroq, roqfeyllar neft biznesiga o'tib ketadi.",0.4444,Standard Oil monopoliyasi keyinroq Rokfeller neft biznesiga o'tib ketadi.,"Standart o'yil monopoliyasi keyinroq, roqfeyllar neft biznesiga o'tib ketadi.",0.4444,0.1233,0.9067,9,9
292516.wav,uzbek_voice,"Ehtimol, bu rejalashtirishdagi bizning aybimizdir.","Ehtimol, bu rejalashtirishdagi bizning aybimizdir.",0.0,"Ehtimol, bu rejalashtirishdagi bizning aybimizdir.","Ehtimol, bu rejalashtirishdagi bizning aybimizdir.",0.0,0.0,1.0,5,5
00008645_1.wav,news,"Ular ham, masalan, bitta xonadonda 10 kishi yashashi mumkin. Ular ham, masalan, bittasi kasallansa, ikkinchisi, uchinchisi deganda butun kvartal kasallangan. O'sha boyagi sug'urta qilinmaganligi sababli vaqtida murojaat qilmagan. Endi hukumat tomonidan oxirgi paytda zarur choralar ko'rildi, mana profilaktika","Ular ham masalan bitta xonadonda 10 kishi bu yer yashashi mumkin. Ular ham masalan bittasi kasallansa, ikkinchisi, uchinchisi deganda butun kvartal kasallangan. O'sha boyagi sug'urta qilinmaganligi sababli vaqtida murojaat qilmagan. Endi hukumat tomonidan oxirgi paytda darrov choralari ko'rildi, mana profilaktika.",0.2368,"Ular ham, masalan, bitta xonadonda 10 kishi yashashi mumkin. Ular ham, masalan, bittasi kasallansa, ikkinchisi, uchinchisi deganda butun kvartal kasallangan. O'sha boyagi sug'urta qilinmaganligi sababli vaqtida murojaat qilmagan. Endi hukumat tomonidan oxirgi paytda zarur choralar ko'rildi, mana profilaktika","Ular ham masalan bitta xonadonda 10 kishi bu yer yashashi mumkin. Ular ham masalan bittasi kasallansa, ikkinchisi, uchinchisi deganda butun kvartal kasallangan. O'sha boyagi sug'urta qilinmaganligi sababli vaqtida murojaat qilmagan. Endi hukumat tomonidan oxirgi paytda darrov choralari ko'rildi, mana profilaktika.",0.2368,0.055,0.9103,38,40
182059.wav,uzbek_voice,O'zbekistonda jinoyat kodeksining yangi tahriri ishlab chiqiladi.,O'zbekistonda jinoyat kodeksining yangi tahriri ishlab chiqiladi.,0.0,O'zbekistonda jinoyat kodeksining yangi tahriri ishlab chiqiladi.,O'zbekistonda jinoyat kodeksining yangi tahriri ishlab chiqiladi.,0.0,0.0,1.0,7,7
413842.wav,uzbek_voice,Britaniya politsiyasi metrodagi teraktga aloqadorlikda gumondor yettinchi shaxsni ushladi.,Britaniya politsiyasi metrodagi traktga aloqadorlikda gumondor yettinchi shaxsni ushladi.,0.1111,Britaniya politsiyasi metrodagi teraktga aloqadorlikda gumondor yettinchi shaxsni ushladi.,Britaniya politsiyasi metrodagi traktga aloqadorlikda gumondor yettinchi shaxsni ushladi.,0.1111,0.0111,0.9944,9,9
00016045.wav,news,"Bitta o'sha yerda bo'lgan masala shu o'z paytida UNESCO bilan loyihalarni o'z vaqtida kelishilmaganligi. Bitta katta masala shu. Uni endi UNESCO bilan bo'ladigan masala u loyiha taklif ishlatiladi, ishlanadi.","Bitta o'sha yerda bo'lgan masala shu o'z paytida UNESCO bilan loyihalarni o'z vaqtida kelishilmaganmagan. Bitta katta masala shu. Uni endi UNESCO bilan bo'ladigan masala u loyiha taqdiri ishlatiladi, ishlanadi.",0.069,"Bitta o'sha yerda bo'lgan masala shu o'z paytida UNESCO bilan loyihalarni o'z vaqtida kelishilmaganligi. Bitta katta masala shu. Uni endi UNESCO bilan bo'ladigan masala u loyiha taklif ishlatiladi, ishlanadi.","Bitta o'sha yerda bo'lgan masala shu o'z paytida UNESCO bilan loyihalarni o'z vaqtida kelishilmaganmagan. Bitta katta masala shu. Uni endi UNESCO bilan bo'ladigan masala u loyiha taqdiri ishlatiladi, ishlanadi.",0.069,0.0385,0.9569,29,29
191105.wav,uzbek_voice,ning qurilishi tugallanmagan uyida yong'in sodir bo'lgan.,ning qurilishi tugallanmagan uyida yong'in sodir bo'lgan.,0.0,ning qurilishi tugallanmagan uyida yong'in sodir bo'lgan.,ning qurilishi tugallanmagan uyida yong'in sodir bo'lgan.,0.0,0.0,1.0,7,7
454759.wav,uzbek_voice,Chernogoriya rahbariyati tutayotgan bunday yo'l xalq manfaatlariga butkul zid.,Chernogoriya rahbariga tutayotgan bunday yo'l xalq manfaatlariga butko'lzat.,0.3333,Chernogoriya rahbariyati tutayotgan bunday yo'l xalq manfaatlariga butkul zid.,Chernogoriya rahbariga tutayotgan bunday yo'l xalq manfaatlariga butko'lzat.,0.3333,0.1026,0.9221,9,8
496193.wav,uzbek_voice,"Qahvaxona ma'muriyati bundan foydalanib, samolyotdagi arilardan asal olishni boshladi.",Qahvaxona ma'muriyati bundan foydalanib samolyotdagi arilardan asal olishni boshladi.,0.1111,"Qahvaxona ma'muriyati bundan foydalanib, samolyotdagi arilardan asal olishni boshladi.",Qahvaxona ma'muriyati bundan foydalanib samolyotdagi arilardan asal olishni boshladi.,0.1111,0.0116,0.9942,9,9
474196.wav,uzbek_voice,Chunki xitoyliklar bu yerda qiziqarli narsalar ko'p ekanligini bilmaydi.,Chunki xitoyliklar bu yerda qiziqarli narsalar ko'p ekanligini bilmaydi.,0.0,Chunki xitoyliklar bu yerda qiziqarli narsalar ko'p ekanligini bilmaydi.,Chunki xitoyliklar bu yerda qiziqarli narsalar ko'p ekanligini bilmaydi.,0.0,0.0,1.0,9,9
388143.wav,uzbek_voice,Oskar Pistorius qamoqxonada hamshiralar uni zaharlamoqchi bo'lganini aytdi.,Oskar Pistarius qamoqxonada hamshiralar uni zaharlamoqchi bo'lganini aytdi.,0.125,Oskar Pistorius qamoqxonada hamshiralar uni zaharlamoqchi bo'lganini aytdi.,Oskar Pistarius qamoqxonada hamshiralar uni zaharlamoqchi bo'lganini aytdi.,0.125,0.0133,0.9867,8,8
244102.wav,uzbek_voice,Olmoslar va brilliantlar bozori sun'iy.,yunyoslar va brilliantlar bozori sun'iy,0.4,Olmoslar va brilliantlar bozori sun'iy.,yunyoslar va brilliantlar bozori sun'iy,0.4,0.1282,0.8974,5,5
364788.wav,uzbek_voice,Haydovchining bunday yo'l tutishiga nima sabab bo'lgani noma'lum.,Haydovchining bunday yo'l tutishiga nima sabab bo'lgani noma'lum.,0.0,Haydovchining bunday yo'l tutishiga nima sabab bo'lgani noma'lum.,Haydovchining bunday yo'l tutishiga nima sabab bo'lgani noma'lum.,0.0,0.0,1.0,8,8
common_voice_uz_28891155.wav,common_voice,"Biz sevgan futbol avvalo murabbiylar, futbolchilar tomonidan yaratilgan mahsulotdir.","Biz sevgan futbol avvalo murabbiylar, futbolchilar tomonidan yaratilgan mahsulotdir.",0.0,"Biz sevgan futbol avvalo murabbiylar, futbolchilar tomonidan yaratilgan mahsulotdir.","Biz sevgan futbol avvalo murabbiylar, futbolchilar tomonidan yaratilgan mahsulotdir.",0.0,0.0,1.0,9,9
common_voice_uz_29292270.wav,common_voice,Nega baxtsiz bo'ldim?,Nega baxtsiz bo'ldi?,0.3333,Nega baxtsiz bo'ldim?,Nega baxtsiz bo'ldi?,0.3333,0.0476,0.9756,3,3
common_voice_uz_29805703.wav,common_voice,Lekin biznesimiz o'z faoliyatida davom etdi.,Lekin biznesimiz o'z faoliyatida davom etdi.,0.0,Lekin biznesimiz o'z faoliyatida davom etdi.,Lekin biznesimiz o'z faoliyatida davom etdi.,0.0,0.0,1.0,6,6
common_voice_uz_29517202.wav,common_voice,Oltin Vohaga bo'lgan murojaatdan keyin vaziyat o'rganildi.,Oltin vohaga bo'lgan murojaatdan keyin vaziyat o'rganildi.,0.1429,Oltin Vohaga bo'lgan murojaatdan keyin vaziyat o'rganildi.,Oltin vohaga bo'lgan murojaatdan keyin vaziyat o'rganildi.,0.1429,0.0172,0.9828,7,7
838169.wav,uzbek_voice,Sales: Milliy bank har oy tanlov o'tkazib g'oliblarni taqdirlamoqda.,Salets Milliy bank har oyi tanlov o'tkazib g'oliblarni taqdirlamoqda.,0.2222,Sales: Milliy bank har oy tanlov o'tkazib g'oliblarni taqdirlamoqda.,Salets Milliy bank har oyi tanlov o'tkazib g'oliblarni taqdirlamoqda.,0.2222,0.0441,0.9781,9,9
733142.wav,uzbek_voice,Vazirlik ijtimoiy murojaatlar orqali aholi uchun videoroliklar tayyorlash harakatida.,Vazirlik ijtimoiy murojaatlar orqali aholi uchun videoroliklar tayyorlash harakatida.,0.0,Vazirlik ijtimoiy murojaatlar orqali aholi uchun videoroliklar tayyorlash harakatida.,Vazirlik ijtimoiy murojaatlar orqali aholi uchun videoroliklar tayyorlash harakatida.,0.0,0.0,1.0,9,9
00014887_1.wav,news,"saqlanadi, juda ham biz uchun muqaddas hisoblanadi. Dadamni o'zini onalari biz bilan birga yashagan bu yerda. Amakilari ham bo'lgani bilan dadam o'tganlaridan keyin rosta bir yildan keyin o'sha dadam o'tgan kunlarida o'tib qolishgan. Juda ham nima qattiq qayg'u","Saxlanadi, juda ham biz uchun muqaddas hisoblanadi. Dadamni o'zini onalari biz bilan birga yashagan bu yerda. Amakilar ham bo'lgani bilan dadam o'tganlaridan keyin rosa bir yildan keyin o'sha dadam o'tgan kunlarida o'tib qolishgan. Juda ham nima qattiq qayg'ur",0.1053,"saqlanadi, juda ham biz uchun muqaddas hisoblanadi. Dadamni o'zini onalari biz bilan birga yashagan bu yerda. Amakilari ham bo'lgani bilan dadam o'tganlaridan keyin rosta bir yildan keyin o'sha dadam o'tgan kunlarida o'tib qolishgan. Juda ham nima qattiq qayg'u","Saxlanadi, juda ham biz uchun muqaddas hisoblanadi. Dadamni o'zini onalari biz bilan birga yashagan bu yerda. Amakilar ham bo'lgani bilan dadam o'tganlaridan keyin rosa bir yildan keyin o'sha dadam o'tgan kunlarida o'tib qolishgan. Juda ham nima qattiq qayg'ur",0.1053,0.0192,0.9827,38,38
common_voice_uz_29663780.wav,common_voice,"Bir marta omadingiz chopib foyda qilsangiz, boshqa yili tushib qolasiz.","Bir marta omadingiz chopib, foyda qilsangiz boshqa yili tushib qolasiz.",0.2,"Bir marta omadingiz chopib foyda qilsangiz, boshqa yili tushib qolasiz.","Bir marta omadingiz chopib, foyda qilsangiz boshqa yili tushib qolasiz.",0.2,0.0282,0.9859,10,10
common_voice_uz_29398308.wav,common_voice,jamiyat ijtimoiy immuniteti yuzaga kelishiga,Jamiyat ijtimoiy immuniteti yuzaga kelishiga,0.2,jamiyat ijtimoiy immuniteti yuzaga kelishiga,Jamiyat ijtimoiy immuniteti yuzaga kelishiga,0.2,0.0227,0.9773,5,5
15548.wav,it,"Har bitta sohada 2.0, 2.0, 2.0 sotuvchi 2.0 bo'lishi kerak, doktor 2.0 bo'lishi kerak, agar aytmagan bo'lsam. Va hammasi hozir mana shu yangi tug'ilgan texnologiyalar bilan ishlay oladigan mutaxassis bo'lishi kerak. Mana shu umumiy javob bilan cheklanaman.","Har bitta sohada 2.0, 2.0, 2.0, sotuvchi 2.0 bo'lishi kerak, doktor 2.0 bo'lishi kerak agar yetmagan bo'lsam. Hammasi hozir mana shu yangi tug'ilgan texnologiyalar bilan ishlay oladigan mutaxassis bo'lishi kerak. Mana shu umumiy javob bilan cheklanaman.",0.1351,"Har bitta sohada 2.0, 2.0, 2.0 sotuvchi 2.0 bo'lishi kerak, doktor 2.0 bo'lishi kerak, agar aytmagan bo'lsam. Va hammasi hozir mana shu yangi tug'ilgan texnologiyalar bilan ishlay oladigan mutaxassis bo'lishi kerak. Mana shu umumiy javob bilan cheklanaman.","Har bitta sohada 2.0, 2.0, 2.0, sotuvchi 2.0 bo'lishi kerak, doktor 2.0 bo'lishi kerak agar yetmagan bo'lsam. Hammasi hozir mana shu yangi tug'ilgan texnologiyalar bilan ishlay oladigan mutaxassis bo'lishi kerak. Mana shu umumiy javob bilan cheklanaman.",0.1351,0.0312,0.8919,37,36
00006758.wav,news,va Doktor Maks sirop dori vositasini davlat ro'yxatidan o'tganligi guvohnomasini amal qilish muddatini baribir uzaytirib berilgan bo'lishligi isbot talab qilinmaydigan fakt bo'lib qolgan. Bundan tashqari Ambronol sirop dori vositasining,va Dok-1 Maks sirop dori vositasini davlat ro'yxatidan o'tganligi guvohnomasini amal qilish muddatini baribir uzaytirib berilgan bo'lishiga isbot talab qilinmaydigan fakt bo'lib qolgan. Bundan tashqari Ambronol sirop dori vositasining,0.069,va Doktor Maks sirop dori vositasini davlat ro'yxatidan o'tganligi guvohnomasini amal qilish muddatini baribir uzaytirib berilgan bo'lishligi isbot talab qilinmaydigan fakt bo'lib qolgan. Bundan tashqari Ambronol sirop dori vositasining,va Dok-1 Maks sirop dori vositasini davlat ro'yxatidan o'tganligi guvohnomasini amal qilish muddatini baribir uzaytirib berilgan bo'lishiga isbot talab qilinmaydigan fakt bo'lib qolgan. Bundan tashqari Ambronol sirop dori vositasining,0.069,0.0212,0.9745,29,29
195603.wav,uzbek_voice,Loyihaning butun perimetri bo'ylab aylana avtoturargoh loyihalangan.,Loyihaning butun perimetri bo'ylab aylana avtoturargohi qo'yqalangan.,0.2857,Loyihaning butun perimetri bo'ylab aylana avtoturargoh loyihalangan.,Loyihaning butun perimetri bo'ylab aylana avtoturargohi qo'yqalangan.,0.2857,0.0735,0.9489,7,7
832075.wav,uzbek_voice,Toshkentdagi Minor va Bodomzor masjidlariga yangi imom-xatib tayinlandi.,Toshkentdagi Minor va Botomzor masjidlariga yangi imom-hadib tayinlandi.,0.25,Toshkentdagi Minor va Bodomzor masjidlariga yangi imom-xatib tayinlandi.,Toshkentdagi Minor va Botomzor masjidlariga yangi imom-hadib tayinlandi.,0.25,0.0417,0.9583,8,8
344147.wav,uzbek_voice,Fransuz alyansi yozgi sessiyaga qabul haqida e'lon qiladi.,Fransuz alyansi yozgi sessiyaga qabul haqida e'lon qiladi.,0.0,Fransuz alyansi yozgi sessiyaga qabul haqida e'lon qiladi.,Fransuz alyansi yozgi sessiyaga qabul haqida e'lon qiladi.,0.0,0.0,1.0,8,8
644491.wav,uzbek_voice,O'zbekistonda daromadlarning o'sish sur'ati mehnat unumdorligidan oshdi.,O'zbekistonda daromadlarning o'sish sur'ati Mehnat unumdorligidan ochdi.,0.2857,O'zbekistonda daromadlarning o'sish sur'ati mehnat unumdorligidan oshdi.,O'zbekistonda daromadlarning o'sish sur'ati Mehnat unumdorligidan ochdi.,0.2857,0.0278,0.9722,7,7
171423.wav,uzbek_voice,A seriyaning noyabrdagi eng yaxshi o'yinchisi aniqlandi.,A seriyaning noyabrdagi eng yaxshi o'yinchisi aniqlandi.,0.0,A seriyaning noyabrdagi eng yaxshi o'yinchisi aniqlandi.,A seriyaning noyabrdagi eng yaxshi o'yinchisi aniqlandi.,0.0,0.0,1.0,7,7
713206.wav,uzbek_voice,"Rossiya davlati dunyodagi eng yirik terrorchi tashkilotga aylandi, Zelenskiy.","Rossiya davlati dunyodagi eng yirik terrorchi tashkilotga aylandi, Zelenskiy.",0.0,"Rossiya davlati dunyodagi eng yirik terrorchi tashkilotga aylandi, Zelenskiy.","Rossiya davlati dunyodagi eng yirik terrorchi tashkilotga aylandi, Zelenskiy.",0.0,0.0,1.0,9,9
common_voice_uz_29272765.wav,common_voice,"Kishi ""Men vatanimdaman"" deya ko'kragini to'ldirib ayta olishi uchun","Kishi, men vatanimdaman, deya ko'kragini to'ldirib ayta olishi uchun",0.3333,"Kishi ""Men vatanimdaman"" deya ko'kragini to'ldirib ayta olishi uchun","Kishi, men vatanimdaman, deya ko'kragini to'ldirib ayta olishi uchun",0.3333,0.0588,0.9559,9,9
112803.wav,uzbek_voice,Germaniya hujumi rus qo'shinlari tomonidan to'xtatildi.,Germaniya hujumi rus qo'shinlari tomonidan to'xtatildi.,0.0,Germaniya hujumi rus qo'shinlari tomonidan to'xtatildi.,Germaniya hujumi rus qo'shinlari tomonidan to'xtatildi.,0.0,0.0,1.0,6,6
common_voice_uz_29020514.wav,common_voice,"Masalan, ingliz tilidagi ""online"" so'zi o'zbek tilida ""onlayn"" tarzda talaffuz qilinadi.","Masalan, ingliz tilidagi onlayn so'zi o'zbek tilida onlayn tarzda talab o'z qilinadi.",0.3636,"Masalan, ingliz tilidagi ""online"" so'zi o'zbek tilida ""onlayn"" tarzda talaffuz qilinadi.","Masalan, ingliz tilidagi onlayn so'zi o'zbek tilida onlayn tarzda talab o'z qilinadi.",0.3636,0.125,0.9133,11,12
191212.wav,uzbek_voice,"Demak, virus tashuvchisi bo'lmaydi va uni yuqtirmaydi.","Demak, virus tashuvchisi bo'lmaydi va uni yoqtirmaydi.",0.1429,"Demak, virus tashuvchisi bo'lmaydi va uni yuqtirmaydi.","Demak, virus tashuvchisi bo'lmaydi va uni yoqtirmaydi.",0.1429,0.0185,0.9815,7,7
common_voice_uz_28925436.wav,common_voice,"Gunoh ustiga gunoh bo'lib, oila buzilishi, qarindoshlar notinchligi, jamiyat zaiflashuviga olib keladi.","Gunoh istiga gunoh bo'lib, oila buzilish qarindoshlari notinchligi Jamiyonovni zaiflashuvga olib keladi.",0.5,"Gunoh ustiga gunoh bo'lib, oila buzilishi, qarindoshlar notinchligi, jamiyat zaiflashuviga olib keladi.","Gunoh istiga gunoh bo'lib, oila buzilish qarindoshlari notinchligi Jamiyonovni zaiflashuvga olib keladi.",0.5,0.1262,0.9179,12,12
00012775_1.wav,news,"Anuni olib tur, menga qilib tur, anuni yordam berib tur, qilganlarida men ham yordam berib turaman. Siz sous chefsiz, to'g'rimi? Yordamchisiz. O'zingiz ham ovqat pishirasizmi? Yo'q.","Anuni olib tur, menga qilib tur, yordam birib tur qilganlar-da, men ham yordam birib turaman. Siz su-shevsiz, to'g'rimi? Yordamchi siz. O'zingiz ham ovqat pishirasizmi? Yo'q.",0.3462,"Anuni olib tur, menga qilib tur, anuni yordam berib tur, qilganlarida men ham yordam berib turaman. Siz sous chefsiz, to'g'rimi? Yordamchisiz. O'zingiz ham ovqat pishirasizmi? Yo'q.","Anuni olib tur, menga qilib tur, yordam birib tur qilganlar-da, men ham yordam birib turaman. Siz su-shevsiz, to'g'rimi? Yordamchi siz. O'zingiz ham ovqat pishirasizmi? Yo'q.",0.3462,0.0939,0.9408,26,25
181695.wav,uzbek_voice,Bu yerda Hosilbekka kutilmaganda oqqon tashxisi qo'yildi.,Bu yerda Hosilbekka kutilmaganda oqqon tashxisi qo'yildi.,0.0,Bu yerda Hosilbekka kutilmaganda oqqon tashxisi qo'yildi.,Bu yerda Hosilbekka kutilmaganda oqqon tashxisi qo'yildi.,0.0,0.0,1.0,7,7
141559.wav,uzbek_voice,Shaharning yangi me'moriy inshooti bu Infinity majmuasi.,Shaharning yangi me'moriy inshooti bu Infinity majmuasi.,0.0,Shaharning yangi me'moriy inshooti bu Infinity majmuasi.,Shaharning yangi me'moriy inshooti bu Infinity majmuasi.,0.0,0.0,1.0,7,7
common_voice_uz_29117240.wav,common_voice,"Farishtadek go'zal, farishtadek pokiza bir qizni sevib qoldim.","Farishtadik go'zal, farishtadik pokiza bir qizni sevib qoldim.",0.25,"Farishtadek go'zal, farishtadek pokiza bir qizni sevib qoldim.","Farishtadik go'zal, farishtadik pokiza bir qizni sevib qoldim.",0.25,0.0323,0.9677,8,8
common_voice_uz_29024822.wav,common_voice,mamlakatda kuchli muxolifatni tuzish boshlanadi.,Mamlakatda kuchli muxolifatni tuzish boshlanadi.,0.2,mamlakatda kuchli muxolifatni tuzish boshlanadi.,Mamlakatda kuchli muxolifatni tuzish boshlanadi.,0.2,0.0208,0.9792,5,5
113214.wav,uzbek_voice,Shundan so'ng yigit hodisa joyidan yashiringan.,Shundan so'ng yigit hodisa joyidan yashiringan.,0.0,Shundan so'ng yigit hodisa joyidan yashiringan.,Shundan so'ng yigit hodisa joyidan yashiringan.,0.0,0.0,1.0,6,6
455239.wav,uzbek_voice,Zilzila oqibatida yuz bergan talofatlar to'g'risida hozircha axborot yo'q.,Zilzila oqibatida yuz bergan talofatlar to'g'risida hozircha axborot yo'q.,0.0,Zilzila oqibatida yuz bergan talofatlar to'g'risida hozircha axborot yo'q.,Zilzila oqibatida yuz bergan talofatlar to'g'risida hozircha axborot yo'q.,0.0,0.0,1.0,9,9
802082.wav,uzbek_voice,Kelgusida farzandingiz o'z ehtiyojlari yo'lida pul o'g'irlamasligiga ishonchingiz komilmi?,Kelgusida farzandingiz o'z ehtiyojlari yo'lida pul o'g'irlamasligi ishonchingiz komilmi?,0.1111,Kelgusida farzandingiz o'z ehtiyojlari yo'lida pul o'g'irlamasligiga ishonchingiz komilmi?,Kelgusida farzandingiz o'z ehtiyojlari yo'lida pul o'g'irlamasligi ishonchingiz komilmi?,0.1111,0.0222,0.9888,9,9
505584.wav,uzbek_voice,Soqol o'stirish uchun qo'llaniladigan Minox tarkibi minoksidin moddasidan iborat.,Sohal o'stirish uchun qo'llaniladigan Minox tarkibi Minoksidin moddasidan iborat.,0.2222,Soqol o'stirish uchun qo'llaniladigan Minox tarkibi minoksidin moddasidan iborat.,Sohal o'stirish uchun qo'llaniladigan Minox tarkibi Minoksidin moddasidan iborat.,0.2222,0.037,0.963,9,9
105067.wav,uzbek_voice,Jinoyatchilar jazoni qattiq tartibdagi koloniyalarda o'taydi.,Jinoyatchilar jazoni qattiq tartibdagi koloniyalarda o'taydi.,0.0,Jinoyatchilar jazoni qattiq tartibdagi koloniyalarda o'taydi.,Jinoyatchilar jazoni qattiq tartibdagi koloniyalarda o'taydi.,0.0,0.0,1.0,6,6
463833.wav,uzbek_voice,Toshkent ko'chalarining birida yomg'ir sabab daraxt avtomobillar ustiga yiqildi.,Toshkent ko'chalarining birida yomg'ir sabab daraxt avtomobillar ustiga yiqildi.,0.0,Toshkent ko'chalarining birida yomg'ir sabab daraxt avtomobillar ustiga yiqildi.,Toshkent ko'chalarining birida yomg'ir sabab daraxt avtomobillar ustiga yiqildi.,0.0,0.0,1.0,9,9
243356.wav,uzbek_voice,"Xabar berishlaricha, uning ahvoli barqaror.","Xabar berishlaricha, uning ahvoli barqaror.",0.0,"Xabar berishlaricha, uning ahvoli barqaror.","Xabar berishlaricha, uning ahvoli barqaror.",0.0,0.0,1.0,5,5
560907.wav,uzbek_voice,Toshkentda sambo bo'yicha Osiyo chempionati yakunlandi.,Toshkentda samml bo'yicha Osiyo chempionati yakunlandi.,0.1667,Toshkentda sambo bo'yicha Osiyo chempionati yakunlandi.,Toshkentda samml bo'yicha Osiyo chempionati yakunlandi.,0.1667,0.0364,0.9636,6,6
807443.wav,uzbek_voice,Yopiq akkauntlarga tegishli ma'lumotni faqatgina o'smir ruxsat bergan foydalanuvchilar ko'ra oladi.,Yopiq akkauntlarga tegishli ma'lumotni faqatgina o'smir ruxsat begon foydalanuvchilar ko'ra oladi.,0.0909,Yopiq akkauntlarga tegishli ma'lumotni faqatgina o'smir ruxsat bergan foydalanuvchilar ko'ra oladi.,Yopiq akkauntlarga tegishli ma'lumotni faqatgina o'smir ruxsat begon foydalanuvchilar ko'ra oladi.,0.0909,0.0202,0.9848,11,11
386468.wav,uzbek_voice,Titanik kemasi Sautgempton portidan Amerika tomon yo'lga chiqdi.,Titanik kemasi Saudgimton portidan Amerika tomoni yo'lga chiqdi.,0.25,Titanik kemasi Sautgempton portidan Amerika tomon yo'lga chiqdi.,Titanik kemasi Saudgimton portidan Amerika tomoni yo'lga chiqdi.,0.25,0.0625,0.9531,8,8
00002214.wav,news,"Jahongir Jo'rayev, Abdulla Allayevlardan iborat tarkibda. Ernazarovning kotibligida O'zbekiston Respublikasi Bosh prokurori o'rinbosari Artikova hamda","Jahongir Jo'rayev Abdulla Allayevlardan iborat tarkibda, Ernasarovning kotibligida O'zbekiston Respublikasi Bosh prokurori o'rinbosari Artikova hamda",0.2,"Jahongir Jo'rayev, Abdulla Allayevlardan iborat tarkibda. Ernazarovning kotibligida O'zbekiston Respublikasi Bosh prokurori o'rinbosari Artikova hamda","Jahongir Jo'rayev Abdulla Allayevlardan iborat tarkibda, Ernasarovning kotibligida O'zbekiston Respublikasi Bosh prokurori o'rinbosari Artikova hamda",0.2,0.02,0.9833,15,15
common_voice_uz_29076401.wav,common_voice,Nikoh islomdagi eng muqaddas tushunchalardan biri.,Nikoh Islomdagi eng muqaddas tushunchalardan biri.,0.1667,Nikoh islomdagi eng muqaddas tushunchalardan biri.,Nikoh Islomdagi eng muqaddas tushunchalardan biri.,0.1667,0.02,0.98,6,6
common_voice_uz_29271671.wav,common_voice,Odamga bir marta imkon berish kerak-ku.,Odamga bir marta imkon berish kerak-ku.,0.0,Odamga bir marta imkon berish kerak-ku.,Odamga bir marta imkon berish kerak-ku.,0.0,0.0,1.0,6,6
142905.wav,uzbek_voice,Qiyomat kuni qayta tirilish shundan tarkib topadi.,Qiyomat kuni qayta tirilish shundan tarkib topadi.,0.0,Qiyomat kuni qayta tirilish shundan tarkib topadi.,Qiyomat kuni qayta tirilish shundan tarkib topadi.,0.0,0.0,1.0,7,7
